country,cases,deaths,recoveries,death_rate,recovery_rate
United States,11116640,249730,5946496,0.022,0.535
India,8814579,129635,8205728,0.015,0.931
Brazil,5863093,165811,5291511,0.028,0.903
France,1981827,44548,139810,0.022,0.071
Russia,1925825,33186,1439985,0.017,0.748
Spain,1458591,40769,,0.028,
United Kingdom,1369318,51934,,0.038,
Argentina,1310478,35436,1129088,0.027,0.862
Colombia,1198746,34031,1104956,0.028,0.922
Italy,1178529,45229,420810,0.038,0.357
Mexico,1006522,98542,750190,0.098,0.745
Peru,937011,35231,863120,0.038,0.921
Germany,802944,12523,502278,0.016,0.626
Iran,762068,41493,558818,0.054,0.733
South Africa,751024,20241,693467,0.027,0.923
Poland,712972,10348,294783,0.015,0.413
Ukraine,535857,9603,241444,0.018,0.451
Belgium,535939,14421,,0.027,
Chile,531273,14819,506700,0.028,0.954
Iraq,519152,11670,447039,0.022,0.861
Indonesia,467113,15211,391991,0.033,0.839
Czech Republic,460116,6208,327306,0.013,0.711
Netherlands,447871,8486,,0.019,
Bangladesh,432333,6194,349542,0.014,0.809
Turkey,414278,11507,353663,0.028,0.854
Philippines,407838,7832,374329,0.019,0.918
Romania,360281,8926,243832,0.025,0.677
Pakistan,356904,7141,323225,0.02,0.906
Saudi Arabia,353255,5657,340304,0.016,0.963
Israel,323741,2732,313380,0.008,0.968
Canada,296077,10953,235401,0.037,0.795
Morocco,293177,4779,238598,0.016,0.814
Switzerland,257135,2960,130600,0.012,0.508
Portugal,217301,3381,125066,0.016,0.576
Nepal,209776,1221,173430,0.006,0.827
Austria,203956,1829,125674,0.009,0.616
Ecuador,180295,13008,160639,0.072,0.891
Sweden,177355,6164,,0.035,
United Arab Emirates,150345,530,143252,0.004,0.953
Panama,146653,2873,125370,0.02,0.855
Jordan,143678,1772,,0.012,
Bolivia,143246,8849,117137,0.062,0.818
Hungary,140961,3097,31599,0.022,0.224
Kuwait,136840,838,127585,0.006,0.932
Qatar,135785,234,132784,0.002,0.978
Dominican Republic,133724,2285,109981,0.017,0.822
Costa Rica,123223,1546,75341,0.013,0.611
Kazakhstan,121051,1899,109944,0.016,0.908
Oman,120389,1338,111096,0.011,0.923
Armenia,117337,1763,74984,0.015,0.639
Japan,116677,1883,102837,0.016,0.881
Guatemala,114885,3932,104438,0.034,0.909
Belarus,114185,1046,95843,0.009,0.839
Egypt,110767,6453,101046,0.058,0.912
Lebanon,105430,817,60416,0.008,0.573
Honduras,103102,2823,44778,0.027,0.434
Ethiopia,102720,1569,63866,0.015,0.622
Bulgaria,98251,2130,29375,0.022,0.299
Venezuela,96933,848,91948,0.009,0.949
Moldova,89279,2019,70812,0.023,0.793
Slovakia,86767,510,30519,0.006,0.352
China,86346,4634,81338,0.054,0.942
Bahrain,84703,334,82469,0.004,0.974
Serbia,84568,1009,,0.012,
Croatia,84206,1049,66231,0.012,0.787
Tunisia,80404,2345,54362,0.029,0.676
Georgia,79678,703,62061,0.009,0.779
Azerbaijan,75688,967,55150,0.013,0.729
Greece,74205,1106,,0.015,
Libya,73602,1017,44133,0.014,0.6
Bosnia and Herzegovina,71956,1889,35606,0.026,0.495
Paraguay,71574,1587,51375,0.022,0.718
Kenya,70245,1269,45766,0.018,0.652
Uzbekistan,70181,598,67446,0.009,0.961
Myanmar,68994,1577,52351,0.023,0.759
Ireland,67903,1979,25003,0.029,0.368
Algeria,67679,2154,44633,0.032,0.659
Kyrgyzstan,66504,1199,57321,0.018,0.862
Nigeria,65148,1163,61073,0.018,0.937
Palestine,63031,565,54346,0.009,0.862
Denmark,62136,760,47747,0.012,0.768
Singapore,58119,28,58029,0.0,0.998
Slovenia,55042,797,,0.014,
Ghana,50123,322,48328,0.006,0.964
Malaysia,47417,309,34785,0.007,0.734
North Macedonia,47050,1305,27364,0.028,0.582
Afghanistan,43240,1617,35088,0.037,0.811
Puerto Rico,41174,921,,0.022,
El Salvador,36358,1039,32721,0.029,0.9
Lithuania,34758,277,7753,0.008,0.223
Kosovo,29117,822,17305,0.028,0.594
South Korea,28769,494,25759,0.017,0.895
Norway,28241,294,11863,0.01,0.42
Albania,27830,623,12889,0.022,0.463
Australia,27725,907,25317,0.033,0.913
Montenegro,27177,391,17386,0.014,0.64
Luxembourg,26544,222,15428,0.008,0.581
Cameroon,22421,433,20510,0.019,0.915
Ivory Coast,20945,127,20630,0.006,0.985
Finland,19102,369,14000,0.019,0.733
Sri Lanka,17287,58,11495,0.003,0.665
Madagascar,17223,249,16516,0.014,0.959
Zambia,17097,350,16137,0.02,0.944
Uganda,16020,145,8038,0.009,0.502
Senegal,15779,327,15407,0.021,0.976
Mozambique,14448,113,12505,0.008,0.866
Sudan,14401,1116,9535,0.077,0.662
Namibia,13449,138,12467,0.01,0.927
Angola,13374,322,6345,0.024,0.474
Guinea,12585,74,11041,0.006,0.877
Maldives,12154,42,11262,0.003,0.927
DR Congo,11760,319,11086,0.027,0.943
French Polynesia,11706,53,4842,0.005,0.414
Tajikistan,11573,85,10934,0.007,0.945
Latvia,10547,122,1515,0.012,0.144
Cape Verde,9780,102,9148,0.01,0.935
Jamaica,9780,229,5228,0.023,0.535
Haiti,9168,232,7701,0.025,0.84
Gabon,9062,58,8939,0.006,0.986
Donetsk PR,8788,791,4171,0.09,0.475
Zimbabwe,8786,257,8096,0.029,0.921
Malta,8034,97,5765,0.012,0.718
Mauritania,7948,165,7516,0.021,0.946
Estonia,7637,81,4741,0.011,0.621
Cuba,7568,131,7015,0.017,0.927
Bahamas,7163,155,5282,0.022,0.737
Cyprus,7051,39,2021,0.006,0.287
Botswana,6820,27,5559,0.004,0.815
Syria,6613,341,2665,0.052,0.403
Eswatini,6093,119,5771,0.02,0.947
Trinidad and Tobago,6077,112,5373,0.018,0.884
